0,DATE,D0,D1,D2,D3,D4,-9,W0,W1,W2,W3,W4
22.2,d_19950601,77.9,61.3,33.9,23.2,8.1,0,0,0,0,0,0
29.3,d_19950701,67.2,53.2,32.3,23.3,10.4,0,3.5,0.5,0,0,0
60.5,d_19950801,16.4,7.3,1.3,0,0,0,23.1,9.2,1.8,0.3,0
65.4,d_19950901,22.8,9.8,2.2,0.6,0,0,11.7,2.9,0.4,0,0
45.3,d_19951001,3.3,0.9,0,0,0,0,51.3,26.7,3.4,1.1,0
34,d_19951101,0.6,0,0,0,0,0,65.4,33.6,5.4,0.7,0
46.1,d_19951201,1.9,0.2,0,0,0,0,52,24.4,2.8,0,0
29.3,d_19960101,1.5,0.3,0,0,0,0,69.3,53.1,16.1,3.4,0
29.5,d_19960201,3,0.7,0,0,0,0,67.4,53,17.8,5.2,0.2
23.2,d_19960301,1.6,0.1,0,0,0,0,75,68.7,47.1,25.2,4.6
20.2,d_19960401,3,1.7,0,0,0,0,76.7,72,55.9,35.9,13.1
55.3,d_19960501,16.6,2.1,0,0,0,0,28,15.4,3.1,0.8,0
12.5,d_19960601,0,0,0,0,0,0,87.4,73.2,35.5,17.1,5.2
41.6,d_19960701,5.4,0.9,0,0,0,0,52.9,37.8,16.4,6.2,1.6
45,d_19960801,17.7,6.4,0,0,0,0,37.4,24.4,6.2,2,0.5
44.6,d_19960901,30.2,15.6,1.8,0,0,0,25.1,16.2,4.9,1.1,0
49.7,d_19961001,28,16.5,4.1,0.6,0,0,22.3,13.3,1.7,0,0
51.8,d_19961101,23.5,13.3,1.5,0.3,0,0,24.7,13.8,4.1,0.9,0
51.3,d_19961201,17,6.8,0.2,0,0,0,31.8,19.1,7.6,3.1,0
42.6,d_19970101,10.8,2.2,0,0,0,0,46.6,30.4,13,7.9,2.2
39.8,d_19970201,2.6,0.3,0,0,0,0,57.7,38,16.1,10.7,4.8
32.9,d_19970301,31.6,15,0.1,0,0,0,35.5,23.6,12.9,9.3,2.8
